condition,duration,age,gender,nb_frames_visible,percent_visible
childchild,1199.727943,4,female,31625,90.87904824851289
childchild,1199.727943,4,male,26278,75.69856542029153
childchild,1199.781502,4,male,25958,73.23872132720142
childchild,1199.781502,4,female,19155,54.137697134136005
childchild,957.36187,4,male,22022,76.97039600153786
childchild,957.36187,4,male,15739,55.17616126205083
childchild,545.383013,4,female,9693,59.94063446911137
childchild,545.383013,4,male,11604,71.42241644611313
childchild,1199.767441,4,male,16373,45.952848722986246
childchild,1199.767441,4,male,14110,39.62036335046191
childrobot,1102.071681,4,male,25895,78.95057776151712
childchild,510.461011,4,female,10701,70.67564890033684
childchild,510.461011,4,female,14999,98.48325673013788
childchild,985.315048,4,female,15653,53.40862563122697
childchild,985.315048,4,male,6991,23.78619305229492
childchild,909.566026,4,female,18311,67.42892915009574
childchild,909.566026,4,female,13018,48.077704324703625
childchild,1215.262475,4,female,26003,79.21706016755522
childchild,1215.262475,4,male,21709,65.7908294693457
childchild,1344.531126,4,female,18535,48.5158622133808
childchild,1344.531126,4,female,21032,54.76940704669149
childchild,1989.206614,7,male,27459,47.07284041623095
childchild,1989.206614,6,male,31049,53.26368517660783
childchild,1312.749181,7,female,25059,64.02565216280436
childchild,1312.749181,7,female,25757,65.89321804088107
childchild,1120.111207,7,male,23570,70.78078078078079
childchild,1120.111207,7,male,16652,49.83092437980669
childchild,236.624575,7,female,2214,32.12420197330238
childchild,236.624575,7,male,4819,68.7250427837992
childrobot,614.022727,7,female,17014,93.36552708116118
childchild,743.981809,7,male,9782,44.15256149853306
childchild,743.981809,7,female,15547,70.4312766150222
childrobot,668.20656,6,male,12469,62.520056157240276
childchild,582.814135,7,female,11984,69.26767238887926
childchild,582.814135,6,female,4528,26.2477537534056
childrobot,1695.306743,7,female,25688,50.800933433532414
childrobot,1079.623933,8,male,5862,18.283326055766953
childchild,2200.175301,8,male,35850,54.61359170056213
childchild,2200.175301,8,male,34040,51.92744801916007
childrobot,264.228515,7,male,1056,13.472824700178617
childchild,554.924533,8,male,6845,41.45721034461874
childchild,554.924533,8,male,14339,87.35303076454463
childrobot,575.928924,7,male,6484,37.74375691250946
childchild,824.59772,8,female,2600,10.624387054593004
childchild,824.59772,8,male,4914,20.011402508551882
childrobot,1280.472545,8,male,17227,45.03790849673203
childrobot,855.261538,8,male,11037,43.28574790179622
childrobot,1095.200253,8,male,3866,11.823353110281975
childchild,1785.13794,8,female,29993,56.30267875579584
childchild,1785.13794,8,female,27915,52.484629702746915
childchild,2399.869424,8,female,36699,51.2706240657176
childchild,2399.869424,8,female,45673,63.74726087624045
childrobot,1525.626057,8,male,24848,54.57260827549855
childchild,2399.862133,7,male,15974,22.331888718020412
childchild,2399.862133,7,male,21755,30.383229518728527
childrobot,854.759579,8,male,2378,9.325855915918272
childrobot,1642.002179,6,female,13642,27.790906127770533
childchild,2399.816059,6,female,55086,76.97230528463237
childchild,2399.816059,6,male,67425,94.35216411749066
childrobot,475.742266,5,female,12601,89.41952881067272
childchild,1887.594835,6,male,17898,31.816969761612715
childchild,1887.594835,6,male,24336,43.23095233865667
childchild,793.565099,6,female,11941,50.49048625792812
childchild,793.565099,5,male,17030,72.39722824469668
childchild,1975.436864,6,female,15263,25.938955168077225
childchild,1975.436864,6,male,45536,77.28707695441122
childchild,2334.990932,6,male,nan,nan
childchild,2334.990932,6,male,24268,34.86731512478269
childchild,2399.865752,7,female,31783,44.362402992574395
childchild,2399.865752,7,male,26721,37.23299009293965
childrobot,842.911679,6,male,18279,72.78120645032848
childrobot,707.56131,7,female,16314,77.16393907861129
childchild,1341.775469,7,male,22246,55.737622770094205
childchild,1341.775469,7,male,32117,80.3145865112906
childchild,1484.588935,6,female,15112,42.861194622497024
childchild,1484.588935,6,male,22790,65.0288192661074
childchild,1561.998997,7,male,31536,67.8295657410793
childchild,1561.998997,7,male,21327,45.76118442227229
childrobot,1172.322502,7,female,25631,74.16162726772953
childchild,843.553417,7,male,14374,57.521309376125494
childchild,843.553417,7,male,14082,56.26947974106929
childrobot,1058.67489,7,male,16259,51.8628389154705
childrobot,559.881586,7,female,11597,69.87407362776405
childchild,691.565042,7,female,14584,70.84770463930046
childchild,691.565042,6,female,8925,43.54295750597648
childrobot,963.282626,7,male,13087,45.658165579318286
childchild,1965.299484,7,female,39229,66.93911678383728
childchild,1965.299484,7,female,37664,64.39721647545609
childchild,2049.962012,7,female,29515,48.20585689320071
childchild,2049.962012,7,female,46568,76.00829157621558
childchild,2399.831701,8,female,nan,nan
childchild,2399.831701,7,female,nan,nan
childchild,2399.821718,7,female,nan,nan
childchild,2399.821718,7,male,nan,nan
childchild,668.856773,7,female,nan,nan
childchild,668.856773,8,female,nan,nan
childrobot,374.76198,7,female,nan,nan
childrobot,1713.702069,7,male,nan,nan
childchild,1864.366668,7,male,nan,nan
childchild,1864.366668,6,male,nan,nan
childrobot,451.19205,6,female,nan,nan
childchild,635.707546,7,male,nan,nan
childchild,635.707546,7,male,nan,nan
childchild,1739.277011,7,male,nan,nan
childchild,1739.277011,7,male,nan,nan
childrobot,1264.563227,7,female,nan,nan
childrobot,2399.993374,7,female,nan,nan
childchild,2399.853577,7,male,nan,nan
childchild,2399.853577,6,male,nan,nan
childchild,2374.149096,7,female,nan,nan
childchild,2374.149096,7,female,nan,nan
childchild,1938.936007,7,female,nan,nan
childchild,1938.936007,6,male,nan,nan
childrobot,1047.95555,7,male,nan,nan
childrobot,2333.173272,7,male,nan,nan
childrobot,2399.937985,7,male,nan,nan
childrobot,1976.399545,7,female,nan,nan
childchild,833.859855,7,female,nan,nan
childchild,833.859855,7,male,nan,nan
childrobot,1525.272875,7,male,nan,nan
